Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
410,Slowbro,Normal,80,♀,2316,174,15,9,13,82.2,35.0,35.0,Confusion,Surf,,"2023-03-31 2:38 am","2023-03-21 3:09 pm",18/3/2023,,,0,0,0,8000,,,,,,,,,20.34%,3263,94.49%,88000,118,Slowbro,Normal,0,,,,,,,,,U
411,Slowpoke,Galarian,79,♂,669,130,13,10,12,77.8,20.0,20.0,Iron Tail,Surf,,"2023-03-31 1:21 am","2023-03-21 2:24 pm",1/3/2023,,,0,0,0,2500,42.74%,2346,94.61%,11000,60,Slowbro,Galarian,0,45.03%,2252,95.04%,153000,200,Slowking,Galarian,0,,,,,,,,,
412,Slowpoke,Galarian,79,♂,511,114,14,11,14,86.7,15.0,15.0,Confusion,Surf,,"2023-03-31 1:20 am","2023-03-31 1:20 am",18/3/2023,,,0,0,0,1900,47.40%,2155,94.65%,18900,68,Slowking,Galarian,0,44.20%,2286,95.83%,166400,210,Slowking,Galarian,0,,,,,,,,,
413,Slowpoke,Galarian,79,♂,664,129,6,14,5,55.6,21.0,21.0,Confusion,Surf,,"2023-03-31 1:19 am","2023-03-21 2:24 pm",18/3/2023,,,0,0,0,3000,87.33%,520,96.97%,12000,62,Slowbro,Galarian,0,89.45%,433,97.39%,200000,264,Slowking,Galarian,0,,,,,,,,,
414,Abra,,63,♂,424,49,3,6,12,46.7,12.5,12.5,Charge Beam,Signal Beam,,"2023-03-31 1:15 am","2023-03-31 1:15 am",4/2/2023,,,0,1,0,1561,92.43%,311,97.05%,102129,136,Kadabra,,1,85.71%,586,97.40%,144130,274,Alakazam,Normal,1,79.19%,853,94.92%,7324,12,Abra,,1,
415,Poliwhirl,,61,♀,589,91,14,10,13,82.2,15.0,15.0,,,,"2023-03-31 1:14 am","2023-03-31 1:14 am",19/2/2023,,,0,0,0,1900,35.90%,2626,94.08%,23900,122,Poliwrath,,0,31.11%,2822,95.07%,226400,338,Poliwrath,,0,,,,,,,,,
416,Growlithe,Normal,58,♀,716,100,10,4,15,64.4,22.0,22.0,,,,"2023-03-31 1:14 am","2023-03-20 8:40 pm",1/1/2023,,,0,0,0,3000,68.57%,1288,86.84%,464000,238,Growlithe,Normal,0,46.08%,2209,95.88%,69000,110,Arcanine,Normal,0,,,,,,,,,
417,Mankey,,56,♂,478,67,14,11,11,80.0,15.0,15.0,,,,"2023-03-31 1:13 am","2023-03-31 1:13 am",21/3/2023,,,0,0,0,1900,51.97%,1968,95.01%,41900,89,Primeape,,0,92.43%,311,97.29%,481400,318,Primeape,,0,39.83%,2465,91.84%,1900,2,Mankey,,0,
418,Primeape,,57,♀,1943,128,9,11,9,64.4,33.0,33.0,Counter,Close Combat,,"2023-03-31 1:13 am","2023-03-23 5:28 pm",18/3/2023,,,0,0,0,7000,,,,,,,,,79.37%,846,95.00%,366000,150,Primeape,,0,,,,,,,,,
419,Psyduck,,54,♂,214,53,5,6,6,37.8,8.0,8.0,,,,"2023-03-31 1:13 am","2023-03-31 1:13 am",12/2/2023,,,0,1,0,961,62.34%,1543,95.68%,70934,142,Golduck,,1,70.43%,1212,96.75%,598338,428,Golduck,,1,46.89%,2176,92.55%,35050,54,Psyduck,,1,
420,Ninetales,Normal,38,♀,688,79,14,14,3,68.9,11.0,11.0,Feint Attack,Heat Wave,,"2023-03-31 1:11 am","2023-03-21 2:26 pm",2/2/2023,,,0,1,0,1561,3.32%,3960,91.79%,64212,80,Ninetales,Normal,1,85.25%,605,95.95%,609616,366,Ninetales,Normal,1,,,,,,,,,
421,Ninetales,Normal,38,♂,1288,113,14,15,13,93.3,20.0,20.0,,,,"2023-03-31 1:10 am","2023-03-31 1:10 am",16/2/2023,,,0,0,0,2500,35.38%,2647,94.17%,17000,16,Ninetales,Normal,0,96.00%,165,97.88%,417000,248,Ninetales,Normal,0,,,,,,,,,
422,Vulpix,Normal,37,♀,134,40,8,15,10,73.3,6.0,6.0,,,,"2023-03-31 1:09 am","2023-03-31 1:09 am",19/3/2023,,,0,0,0,600,70.77%,1198,95.83%,65400,118,Ninetales,Normal,0,90.84%,376,96.97%,516400,344,Ninetales,Normal,0,86.52%,553,95.17%,49400,53,Vulpix,Normal,0,
423,Froakie,,656,♂,699,91,9,14,14,82.2,26.0,26.0,,,,"2023-03-30 8:00 pm","2023-03-30 8:00 pm",30/3/2023,,,0,0,0,4000,77.85%,908,96.26%,122000,151,Frogadier,,0,86.79%,542,97.74%,148000,285,Greninja,,0,,,,,,,,,
424,Alakazam,Normal,65,♀,2300,109,15,15,13,95.6,26.5,26.5,Confusion,Future Sight,,"2023-03-30 3:04 pm","2023-03-30 3:04 pm",14/1/2023,,,0,0,0,4000,,,,,,,,,46.64%,2186,95.74%,17500,16,Alakazam,Normal,0,,,,,,,,,
425,Beldum,,374,,265,57,10,14,15,86.7,10.0,10.0,,,,"2023-03-30 9:27 am","2023-03-30 9:27 am",25/2/2023,,,0,0,0,1000,87.37%,518,97.22%,10400,139,Metagross,,0,92.01%,328,97.76%,55500,182,Metagross,,0,52.45%,1948,92.61%,27800,32,Beldum,,0,
426,Bastiodon,,411,♂,840,100,11,12,14,82.2,20.0,20.0,Iron Tail,Stone Edge,,"2023-03-30 9:26 am","2023-03-20 8:36 pm",23/2/2023,,,0,0,0,2500,58.73%,1691,94.07%,256000,248,Bastiodon,,0,95.48%,186,95.37%,475000,248,Bastiodon,,0,,,,,,,,,
427,Alakazam,Normal,65,♂,2142,106,12,13,14,86.7,25.0,25.0,Confusion,Focus Blast,,"2023-03-30 9:25 am","2023-03-28 1:13 pm",28/3/2023,,,0,0,0,4000,,,,,,,,,79.05%,859,97.03%,34000,30,Alakazam,Normal,0,,,,,,,,,
428,Electabuzz,,125,♂,1291,103,13,12,10,77.8,20.0,20.0,,,,"2023-03-28 11:09 am","2023-03-20 8:38 pm",20/3/2023,,,0,0,0,2500,36.87%,2586,94.58%,17000,16,Electabuzz,,0,36.87%,2586,95.42%,65000,158,Electivire,,0,,,,,,,,,
429,Litleo,,667,♀,1043,119,13,6,14,73.3,27.0,27.0,,,,"2023-03-28 11:03 am","2023-03-28 11:03 am",26/3/2023,,,0,0,0,4500,71.65%,1162,94.43%,370000,206,Litleo,,0,30.26%,2857,95.23%,98000,148,Pyroar,,0,,,,,,,,,
430,Litleo,,667,♀,1010,116,10,13,13,80.0,26.0,26.0,,,,"2023-03-28 11:03 am","2023-03-28 11:03 am",22/3/2023,,,0,0,0,4000,93.26%,277,96.78%,364000,214,Litleo,,0,73.75%,1076,96.90%,98000,146,Pyroar,,0,,,,,,,,,
431,Xatu,,178,♀,784,85,9,14,14,82.2,13.0,13.0,,,,"2023-03-26 6:16 pm","2023-03-26 6:08 pm",26/3/2023,,,0,1,0,0,73.92%,1069,95.99%,66368,76,Xatu,,1,96.95%,126,95.85%,603372,354,Xatu,,1,,,,,,,,,
432,Garbodor,,569,♀,1018,107,7,15,11,73.3,16.0,16.0,,,,"2023-03-26 10:25 am","2023-03-26 10:25 am",24/3/2023,,,0,0,0,1900,95.19%,198,97.75%,38100,35,Garbodor,,0,,,,,,,,,,,,,,,,,G
433,Trubbish,,568,♂,794,101,12,14,2,62.2,30.0,30.0,,,,"2023-03-26 10:23 am","2023-03-26 10:23 am",24/3/2023,,,0,0,0,5000,77.44%,925,88.22%,400000,182,Trubbish,,0,71.36%,1174,95.88%,370000,232,Garbodor,,0,,,,,,,,,
434,Torchic,,255,♂,225,51,5,15,10,66.7,8.0,8.0,,,,"2023-03-26 9:05 am","2023-03-26 9:05 am",26/3/2023,,,0,1,0,961,88.84%,458,97.05%,270738,337,Combusken,,1,90.48%,391,97.64%,202338,349,Blaziken,Normal,1,98.90%,46,97.90%,32410,51,Torchic,,1,
435,Girafarig,,203,♂,728,87,14,8,10,71.1,13.0,13.0,,,,"2023-03-25 10:10 am","2023-03-20 8:39 pm",13/3/2023,,,0,1,0,1600,25.64%,3046,93.37%,84968,93,Girafarig,,1,83.69%,669,91.77%,603372,354,Girafarig,,1,,,,,,,,,
436,Golbat,,42,♂,704,91,12,12,9,73.3,13.0,13.0,,,,"2023-03-25 10:10 am","2023-03-25 10:10 am",14/1/2023,,,0,1,0,0,70.99%,1189,95.84%,36364,145,Crobat,,1,43.52%,2314,95.63%,268572,403,Crobat,,1,,,,,,,,,
437,Abomasnow,Normal,460,♂,1471,136,15,15,11,91.1,22.0,22.0,Powder Snow,Energy Ball,,"2023-03-25 10:05 am","2023-03-25 10:05 am",21/1/2023,,,0,0,0,3000,14.87%,3487,93.22%,0,0,Abomasnow,Normal,0,72.31%,1135,96.04%,326000,238,Abomasnow,Normal,0,,,,,,,,,
438,Bronzong,,437,,1475,117,11,10,13,75.6,24.0,24.0,Feint Attack,Payback,,"2023-03-25 10:05 am","2023-03-20 8:36 pm",4/2/2023,,,0,0,0,3500,25.64%,3046,93.73%,0,0,Bronzong,,0,92.99%,288,96.05%,451000,226,Bronzong,,0,,,,,,,,,
439,Glalie,Normal,362,♀,1500,133,14,1,2,37.8,27.0,27.0,,,,"2023-03-25 10:04 am","2023-03-20 8:39 pm",29/12/2022,,,0,0,0,4500,14.07%,3520,93.06%,0,0,Glalie,Normal,0,26.74%,3001,85.71%,428000,206,Glalie,Normal,0,,,,,,,,,
440,Tyranitar,,248,♀,1411,117,8,7,14,64.4,13.5,13.5,Smack Down,Fire Blast,,"2023-03-25 9:57 am","2023-03-25 9:57 am",21/1/2023,,,0,0,0,1600,39.80%,2466,93.68%,1600,2,Tyranitar,Normal,0,30.67%,2840,95.04%,46700,45,Tyranitar,Normal,0,,,,,,,,,
441,Raichu,Normal,26,♀,1210,100,12,12,13,82.2,20.0,20.0,,,,"2023-03-24 2:27 pm","2023-03-24 2:27 pm",23/3/2023,,,0,0,0,2500,60.15%,1633,94.86%,27500,25,Raichu,Normal,0,96.95%,126,96.10%,475000,248,Raichu,Normal,0,,,,,,,,,
442,Raichu,Normal,26,♂,1220,99,13,14,12,86.7,20.0,20.0,,,,"2023-03-24 2:27 pm","2023-03-24 2:27 pm",20/12/2022,,,0,0,0,2500,75.26%,1014,95.62%,27500,25,Raichu,Normal,0,98.39%,67,97.06%,475000,248,Raichu,Normal,0,,,,,,,,,
443,Raichu,Normal,26,♀,1490,115,0,13,14,60.0,26.0,26.0,Volt Switch,Thunder Punch,Wild Charge,"2023-03-24 2:26 pm","2023-03-24 2:26 pm",19/3/2023,,,0,0,0,4000,99.83%,8,98.80%,0,0,Raichu,Normal,0,,,,,,,,,,,,,,,,,G
444,Quilladin,,651,♂,1000,105,10,3,12,55.6,22.0,22.0,Vine Whip,Gyro Ball,,"2023-03-24 2:26 pm","2023-03-24 2:26 pm",19/2/2023,,,0,0,0,3000,26.74%,3001,94.04%,134000,130,Quilladin,,0,34.14%,2698,95.40%,92000,182,Chesnaught,,0,,,,,,,,,
445,Pupitar,,247,♀,737,94,13,14,11,84.4,15.0,15.0,,,,"2023-03-24 2:25 pm","2023-03-24 2:25 pm",21/1/2023,,,0,0,0,1900,65.20%,1426,95.97%,106400,94,Pupitar,,0,55.63%,1818,96.01%,38400,136,Tyranitar,Normal,0,,,,,,,,,
446,Pupitar,,247,♀,737,95,12,15,12,86.7,15.0,15.0,,,,"2023-03-24 2:25 pm","2023-03-20 8:44 pm",21/1/2023,,,0,0,0,1900,67.11%,1348,96.05%,106400,94,Pupitar,,0,57.63%,1736,96.08%,38400,136,Tyranitar,Normal,0,,,,,,,,,
447,Psyduck,,54,♀,469,78,15,13,15,95.6,15.0,15.0,Water Gun,Cross Chop,,"2023-03-24 2:24 pm","2023-03-24 2:24 pm",16/3/2023,,,0,0,0,1900,65.93%,1396,95.83%,29400,77,Golduck,,0,68.28%,1300,96.65%,288400,318,Golduck,,0,10.48%,3667,89.66%,1900,2,Psyduck,,0,
448,Pidgeot,Normal,18,♀,1201,123,15,14,11,88.9,20.0,20.0,,,,"2023-03-24 2:22 pm","2023-03-20 8:44 pm",18/2/2023,,,0,0,0,2500,15.36%,3467,92.80%,27500,25,Pidgeot,Normal,0,98.78%,51,97.60%,225000,248,Pidgeot,Normal,0,,,,,,,,,
449,Persian,Alola,53,♀,1012,106,15,15,15,100.0,20.0,20.0,Feint Attack,Foul Play,,"2023-03-24 2:19 pm","2023-03-24 2:19 pm",24/3/2023,,,0,0,0,2500,54.26%,1874,95.11%,70000,62,Persian,Alola,0,100.00%,1,100%,475000,248,Persian,Alola,0,,,,,,,,,
450,Pansear,,513,♀,401,78,8,13,10,68.9,16.0,16.0,Scratch,Flame Burst,,"2023-03-24 2:18 pm","2023-03-24 2:18 pm",24/3/2023,,,0,0,0,1900,90.96%,371,97.08%,38100,85,Simisear,,0,92.97%,289,97.34%,462600,314,Simisear,,0,42.03%,2375,91.62%,15100,14,Pansear,,0,
451,Pansear,,513,♂,544,89,14,9,10,73.3,21.0,21.0,,,,"2023-03-24 2:17 pm","2023-03-20 8:44 pm",28/1/2023,,,0,0,0,3000,36.80%,2589,94.23%,12000,62,Simisear,,0,86.01%,574,93.03%,220000,294,Simisear,,0,,,,,,,,,
452,Pansage,,511,♂,415,80,11,3,9,51.1,17.0,17.0,Scratch,Crunch,,"2023-03-24 2:17 pm","2023-03-24 2:17 pm",24/3/2023,,,0,0,0,2200,41.03%,2416,94.41%,37800,84,Simisage,,0,43.32%,2322,93.05%,488800,310,Simisage,,0,43.83%,2301,91.74%,16300,14,Pansage,,0,
453,Pansage,,511,♂,665,106,5,5,14,53.3,28.0,28.0,,,,"2023-03-24 2:16 pm","2023-03-24 2:16 pm",22/3/2023,,,0,0,0,4500,47.52%,2150,82.54%,419000,198,Pansage,,0,53.19%,1918,94.12%,419000,248,Simisage,,0,,,,,,,,,
454,Panpour,,515,♂,775,106,13,11,9,73.3,30.0,30.0,,,,"2023-03-24 2:16 pm","2023-03-24 2:16 pm",21/3/2023,,,0,0,0,5000,90.48%,391,90.98%,400000,182,Panpour,,0,76.78%,952,95.86%,342000,232,Simipour,,0,,,,,,,,,
455,Pancham,,674,♀,834,108,12,15,15,93.3,20.0,20.0,Tackle,Low Sweep,,"2023-03-24 2:15 pm","2023-03-24 2:15 pm",21/3/2023,,,0,0,0,2500,82.71%,709,95.93%,267000,248,Pancham,,0,85.27%,604,97.36%,85000,124,Pangoro,,0,,,,,,,,,
456,Musharna,,518,♂,977,127,15,5,12,71.1,13.0,13.0,,,,"2023-03-24 2:12 pm","2023-03-20 8:43 pm",28/11/2022,,,0,0,0,1600,2.93%,3976,91.81%,25300,26,Musharna,,0,23.91%,3117,94.56%,188800,188,Musharna,,0,,,,,,,,,
457,Munchlax,,446,♂,1043,179,10,15,14,86.7,20.0,20.0,,,,"2023-03-24 2:11 pm","2023-03-20 8:43 pm",15/3/2023,,,0,0,0,2500,57.46%,1743,95.37%,60500,54,Munchlax,,0,49.62%,2064,95.76%,51500,96,Snorlax,,0,,,,,,,,,
458,Metang,,375,,962,100,13,14,13,88.9,20.0,20.0,Zen Headbutt,Psyshock,,"2023-03-24 2:10 pm","2023-03-20 8:43 pm",29/12/2022,,,0,0,0,2500,35.97%,2623,94.22%,97000,86,Metang,,0,38.85%,2505,95.29%,17000,116,Metagross,,0,,,,,,,,,
459,Metang,,375,,367,60,12,11,7,66.7,8.0,8.0,Metal Claw,Gyro Ball,,"2023-03-24 2:09 pm","2023-03-20 8:43 pm",28/2/2023,,,0,1,0,3000,23.61%,3129,93.55%,193938,214,Metang,,1,66.15%,1387,96.33%,75134,196,Metagross,,1,39.46%,2480,91.70%,5522,10,Metang,,1,
460,Melmetal,,809,,1502,142,11,14,11,80.0,15.0,15.0,Thunder Shock,Double Iron Bash,,"2023-03-24 2:08 pm","2023-03-20 8:43 pm",2/3/2023,,,0,0,0,1900,,,,,,,,,22.71%,3166,94.60%,48900,45,Melmetal,,0,,,,,,,,,
461,Mareanie,,747,♂,548,89,15,14,12,91.1,20.0,20.0,,,,"2023-03-24 2:06 pm","2023-03-24 2:06 pm",21/2/2023,,,0,0,0,2500,27.91%,2953,93.29%,109000,148,Toxapex,,0,99.39%,26,98.08%,475000,298,Toxapex,,0,,,,,,,,,
462,Machoke,,67,♀,1128,121,12,13,13,84.4,20.0,20.0,,,,"2023-03-24 2:04 pm","2023-03-24 2:04 pm",22/3/2023,,,0,0,0,2500,74.38%,1050,96.16%,43000,38,Machoke,,0,48.86%,2095,95.78%,65000,158,Machamp,,0,,,,,,,,,
463,Machamp,,68,♀,1236,112,8,9,10,60.0,15.0,15.0,Counter,Heavy Slam,,"2023-03-24 2:03 pm","2023-03-24 2:03 pm",23/3/2023,,,0,0,0,0,57.97%,1722,95.37%,12000,12,Machamp,,0,70.06%,1227,96.60%,101400,90,Machamp,,0,,,,,,,,,
464,Luvdisc,,370,♀,345,70,12,14,11,82.2,15.0,15.0,,,,"2023-03-24 2:03 pm","2023-03-20 8:42 pm",13/2/2023,,,0,0,0,1900,96.58%,141,93.73%,496400,268,Luvdisc,,0,96.58%,141,93.73%,496400,268,Luvdisc,,0,46.28%,2201,91.99%,29400,27,Luvdisc,,0,
465,Liepard,,510,♀,1299,118,12,15,15,93.3,25.0,25.0,Snarl,Play Rough,,"2023-03-24 2:00 pm","2023-03-20 8:42 pm",29/12/2022,,,0,0,0,4000,60.78%,1607,95.60%,29500,26,Liepard,,0,99.76%,11,98.51%,444000,220,Liepard,,0,,,,,,,,,
466,Larvitar,,246,♀,436,78,13,14,15,93.3,15.0,15.0,,,,"2023-03-24 1:59 pm","2023-03-24 1:59 pm",21/1/2023,,,0,0,0,1900,47.25%,2161,95.09%,96400,111,Pupitar,,0,84.00%,656,97.28%,38400,161,Tyranitar,Normal,0,58.61%,1696,93.06%,7600,8,Larvitar,,0,
467,Granbull,,210,♀,1382,128,15,15,14,97.8,19.0,19.0,Snarl,Close Combat,,"2023-03-24 1:57 pm","2023-03-24 1:57 pm",24/3/2023,,,0,0,0,2500,70.87%,1194,95.47%,7500,6,Granbull,,0,54.09%,1881,95.78%,201000,210,Granbull,,0,,,,,,,,,
468,Froakie,,656,♂,13,12,14,15,12,91.1,1.0,1.0,,,,"2023-03-24 11:58 am","2023-03-24 11:58 am",21/3/2023,,,0,0,0,200,87.72%,504,97.27%,45000,181,Greninja,,0,52.38%,1951,96.23%,206000,341,Greninja,,0,27.86%,2955,90.95%,33400,46,Froakie,,0,
469,Glaceon,,471,♂,1258,89,3,15,10,62.2,15.0,15.0,Frost Breath,Ice Beam,,"2023-03-24 11:55 am","2023-03-23 7:52 pm",17/1/2023,,,0,0,0,1900,65.79%,1402,95.47%,9800,10,Glaceon,,0,84.64%,630,97.24%,91400,82,Glaceon,,0,,,,,,,,,
470,Prinplup,,394,♂,738,94,12,5,15,71.1,16.0,16.0,,,,"2023-03-23 10:36 pm","2023-03-23 10:36 pm",26/2/2023,,,0,0,0,1900,40.56%,2435,94.42%,154600,146,Prinplup,,0,41.42%,2400,95.67%,120600,208,Empoleon,,0,,,,,,,,,
471,Duskull,,355,♀,144,36,9,14,11,75.6,8.0,8.0,,,,"2023-03-23 6:34 pm","2023-03-20 8:38 pm",3/3/2023,,,0,1,0,961,92.01%,328,97.34%,66734,213,Dusknoir,,1,93.31%,275,97.29%,529938,503,Dusknoir,,1,49.74%,2059,91.31%,102734,122,Duskull,,1,
472,Camerupt,,323,♀,1924,137,14,12,11,82.2,33.0,33.0,Rock Smash,Earthquake,,"2023-03-23 5:30 pm","2023-03-23 5:30 pm",19/1/2023,,,0,0,0,7000,,,,,,,,,95.70%,177,95.06%,366000,150,Camerupt,,0,,,,,,,,,
473,Musharna,,518,♀,1928,176,9,15,6,66.7,26.0,26.0,Zen Headbutt,Dazzling Gleam,,"2023-03-23 5:30 pm","2023-03-23 5:30 pm",24/11/2022,,,0,0,0,4000,,,,,,,,,54.77%,1853,95.87%,130000,136,Musharna,,0,,,,,,,,,
474,Tapu Lele,,786,,1938,109,13,10,11,75.6,20.0,20.0,Astonish,Psyshock,,"2023-03-23 5:28 pm","2023-03-23 5:28 pm",11/2/2023,,,0,0,0,2500,,,,,,,,,36.51%,2601,95.31%,35000,31,Tapu Lele,,0,,,,,,,,,
475,Milotic,,350,♂,1996,149,15,10,15,88.9,23.5,23.5,Dragon Tail,Blizzard,,"2023-03-23 5:26 pm","2023-03-20 8:43 pm",25/2/2023,,,0,0,0,3500,,,,,,,,,8.35%,3754,94.01%,44500,39,Milotic,,0,,,,,,,,,
476,Pyroar,,668,♀,2023,146,12,14,15,91.1,26.0,26.0,Incinerate,Dark Pulse,,"2023-03-23 5:25 pm","2023-03-23 5:25 pm",25/2/2023,,,0,0,0,4000,,,,,,,,,72.26%,1137,96.83%,84000,80,Pyroar,,0,,,,,,,,,
477,Obstagoon,,862,♀,2041,158,4,14,9,60.0,29.0,29.0,Lick,Hyper Beam,,"2023-03-23 5:24 pm","2023-03-23 5:24 pm",17/12/2022,,,0,0,0,5000,,,,,,,,,88.52%,471,97.68%,180000,190,Obstagoon,,0,,,,,,,,,
478,Stoutland,,508,♂,2096,143,13,14,11,84.4,26.5,26.5,Take Down,Play Rough,,"2023-03-23 5:02 pm","2023-03-23 5:02 pm",6/12/2022,,,0,0,0,4000,,,,,,,,,46.37%,2197,95.80%,66000,60,Stoutland,,0,,,,,,,,,
479,Ursaring,,217,♂,2102,145,12,12,7,68.9,26.0,26.0,Metal Claw,Close Combat,,"2023-03-23 5:00 pm","2023-03-23 5:00 pm",11/3/2023,,,0,0,0,4000,,,,,,,,,35.75%,2632,95.62%,52000,46,Ursaring,,0,,,,,,,,,
480,Exeggutor,Normal,103,♂,2104,152,11,15,12,84.4,25.0,25.0,Bullet Seed,Solar Beam,,"2023-03-23 4:59 pm","2023-03-23 4:59 pm",11/3/2023,,,0,0,0,4000,,,,,,,,,66.03%,1392,96.53%,39000,34,Exeggutor,Normal,0,,,,,,,,,
481,Magnezone,,462,,2140,122,1,2,8,24.4,26.0,26.0,Charge Beam,Flash Cannon,,"2023-03-23 4:57 pm","2023-03-20 8:42 pm",2/2/2023,,,0,0,0,4000,,,,,,,,,84.13%,651,97.09%,41000,36,Magnezone,,0,,,,,,,,,
482,Noivern,,715,♂,2235,151,14,15,14,95.6,28.5,28.5,Air Slash,Boomburst,,"2023-03-23 4:54 pm","2023-03-23 4:54 pm",5/2/2023,,,0,0,0,4500,,,,,,,,,53.50%,1905,96.13%,55500,52,Noivern,,0,,,,,,,,,
483,Pansage,,511,♂,403,78,14,14,14,93.3,15.0,15.0,Vine Whip,Seed Bomb,,"2023-03-23 3:43 pm","2023-03-23 3:43 pm",23/3/2023,,,0,0,0,1900,79.02%,860,96.21%,35400,83,Simisage,,0,86.18%,567,96.58%,371400,318,Simisage,,0,53.36%,1911,92.43%,14200,14,Pansage,,0,
484,Hippopotas,,449,♂,296,68,14,10,13,82.2,8.0,8.0,,,,"2023-03-23 3:36 pm","2023-03-20 8:40 pm",13/3/2023,,,0,1,0,800,12.70%,3576,93.01%,29770,98,Hippowdon,,1,7.81%,3776,93.81%,118934,187,Hippowdon,,1,20.78%,3245,89.84%,12966,24,Hippopotas,,1,
485,Hippopotas,,449,♂,282,66,9,10,9,62.2,8.0,8.0,,,,"2023-03-23 3:36 pm","2023-03-23 3:36 pm",22/3/2023,,,0,1,0,961,20.15%,3271,93.52%,32410,101,Hippowdon,,1,23.49%,3134,94.84%,130334,197,Hippowdon,,1,21.54%,3214,89.91%,14887,27,Hippopotas,,1,
486,Hippopotas,,449,♀,564,93,14,11,12,82.2,15.0,15.0,Tackle,Rock Tomb,,"2023-03-23 3:35 pm","2023-03-20 8:40 pm",10/2/2023,,,0,0,0,1900,19.22%,3309,93.47%,7600,58,Hippowdon,,0,13.80%,3531,94.27%,81900,124,Hippowdon,,0,,,,,,,,,
487,Hippopotas,,449,♂,335,72,13,12,12,82.2,9.0,9.0,,,,"2023-03-23 3:35 pm","2023-03-20 8:40 pm",5/3/2023,,,0,0,0,1000,19.76%,3287,93.50%,23200,78,Hippowdon,,0,59.44%,1662,96.49%,102000,148,Hippowdon,,0,29.74%,2878,90.58%,9200,12,Hippopotas,,0,
488,Walrein,,365,♂,2326,189,14,9,15,84.4,31.0,31.0,Waterfall,Water Pulse,,"2023-03-21 3:09 pm","2023-03-21 3:09 pm",30/12/2022,,,0,0,0,6000,,,,,,,,,40.76%,2427,95.39%,60000,66,Walrein,,0,,,,,,,,,
489,Zorua,Normal,570,♀,798,87,11,3,6,44.4,27.0,27.0,,,,"2023-03-21 2:27 pm","2023-03-21 2:27 pm",18/3/2023,,,0,0,0,4500,29.13%,2903,79.41%,178000,206,Zorua,Normal,0,30.11%,2863,88.12%,178000,256,Zoroark,Normal,0,,,,,,,,,
490,Zorua,Normal,570,♂,871,91,13,3,7,51.1,29.0,29.0,,,,"2023-03-21 2:27 pm","2023-03-21 2:27 pm",7/3/2023,,,0,0,0,5000,39.78%,2467,81.19%,160000,190,Zorua,Normal,0,41.44%,2399,89.49%,160000,240,Zoroark,Normal,0,,,,,,,,,
491,Zebstrika,,523,♂,2038,139,14,14,10,84.4,30.0,30.0,Spark,Discharge,,"2023-03-21 2:27 pm","2023-03-21 2:27 pm",27/1/2023,,,0,0,0,5000,,,,,,,,,66.35%,1379,96.02%,238000,182,Zebstrika,,0,,,,,,,,,
492,Zebstrika,,523,♂,1719,130,13,15,15,95.6,25.0,25.0,Low Kick,Flame Charge,,"2023-03-21 2:27 pm","2023-03-21 2:27 pm",3/2/2023,,,0,0,0,4000,,,,,,,,,81.93%,741,96.89%,258000,220,Zebstrika,,0,,,,,,,,,
493,Zangoose,,335,♀,1159,102,15,15,10,88.9,17.0,17.0,,,,"2023-03-21 2:26 pm","2023-03-21 2:26 pm",14/2/2023,,,0,0,0,2200,85.25%,605,96.64%,24800,22,Zangoose,,0,70.60%,1205,95.97%,314800,260,Zangoose,,0,,,,,,,,,
494,Yamask,Normal,562,♂,409,66,14,12,13,86.7,15.0,15.0,,,,"2023-03-21 2:26 pm","2023-03-21 2:26 pm",1/3/2023,,,0,0,0,1900,72.01%,1147,95.95%,41900,89,Cofagrigus,,0,95.87%,170,97.74%,466400,318,Cofagrigus,,0,30.65%,2841,90.93%,12000,12,Yamask,Normal,0,
495,Woobat,,527,♀,868,131,10,14,13,82.2,33.0,33.0,,,,"2023-03-21 2:26 pm","2023-03-21 2:26 pm",20/3/2023,,,0,0,0,7000,80.39%,804,97.01%,7000,58,Swoobat,,0,97.19%,116,95.80%,366000,200,Swoobat,,0,,,,,,,,,
496,Wigglytuff,,40,♂,1405,217,13,0,13,57.8,28.0,28.0,,,,"2023-03-21 2:26 pm","2023-03-21 2:26 pm",11/1/2023,,,0,0,0,4500,1.78%,4023,90.90%,14000,12,Wigglytuff,,0,32.75%,2755,84.06%,419000,198,Wigglytuff,,0,,,,,,,,,
497,Wartortle,,8,♂,678,88,10,13,8,68.9,17.0,17.0,,,,"2023-03-21 2:26 pm","2023-03-21 2:26 pm",29/1/2023,,,0,0,0,2200,26.81%,2998,93.61%,24800,122,Blastoise,Normal,0,59.58%,1656,95.88%,350800,360,Blastoise,Normal,0,,,,,,,,,
